text,label
travel train station ticket,travel
travel airport flight booking,travel
travel hotel room reservation,travel
travel bus route directions,travel
travel passport visa airport,travel
travel taxi station directions,travel
food restaurant menu dinner,food
food breakfast lunch meal,food
food restaurant vegetarian dish,food
food order spicy curry,food
food kitchen cooking recipe,food
food restaurant table lunch,food
greetings hello good morning,greetings
greetings hello how are you,greetings
greetings welcome nice meeting you,greetings
greetings goodbye see you later,greetings
greetings hello good evening,greetings
greetings welcome pleased to meet,greetings
