text,label
solve quadratic algebra equations,math
factor polynomial algebra expressions,math
calculate triangle geometry angles,math
integrate calculus functions,math
differentiate calculus derivatives,math
simplify algebra fractions,math
explain cell biology membranes,biology
describe biology dna genetics,biology
compare cell mitosis meiosis,biology
explain plant biology photosynthesis,biology
describe cell respiration mitochondria,biology
explain biology organism evolution,biology
calculate physics force acceleration,physics
explain physics energy momentum,physics
calculate electric physics voltage,physics
describe physics gravity mass,physics
explain physics waves frequency,physics
calculate physics velocity motion,physics
